"bureau","inscrits","votants","blancs","exprimes","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"0101","1079","926","6","914","3","10","3","17","295","62","3","49","348","121","3"
"0102","1172","991","11","978","3","3","3","2","254","83","6","43","424","152","5"
"0103","1155","957","9","947","0","13","0","17","210","77","12","56","409","150","3"
"0104","1300","1069","14","1052","0","10","2","19","226","102","9","57","381","235","11"
"0105","1057","911","7","904","3","3","1","17","229","80","3","47","384","136","1"
"0106","1191","1021","14","1006","4","7","0","11","303","83","6","44","411","134","3"
"0107","1082","933","3","929","1","5","1","19","319","55","7","45","372","105","0"
"0108","925","756","7","746","0","2","0","12","293","40","5","39","285","68","2"
"0109","956","818","4","812","1","4","1","11","335","40","2","32","303","80","3"
"0110","858","747","6","738","0","1","0","3","367","37","4","31","244","50","1"
"0201","1150","995","14","977","0","5","1","13","303","66","5","41","413","127","3"
"0202","988","850","7","841","3","5","3","13","260","52","5","28","351","119","2"
"0203","816","682","5","676","1","4","1","5","260","59","2","30","236","76","2"
"0204","1443","1236","10","1224","2","8","4","8","279","129","0","43","563","183","5"
"0205","1413","1234","10","1219","1","5","1","12","279","107","1","37","566","204","6"
"0206","1438","1239","9","1225","1","8","2","12","333","99","11","47","539","164","9"
"0207","1444","1241","11","1225","2","12","0","19","242","116","4","34","593","201","2"
"0208","1710","1429","13","1414","2","8","3","18","246","179","5","49","630","265","9"
"0209","1676","1392","11","1381","3","16","1","9","262","149","10","47","614","268","2"
"0210","1282","1125","11","1110","2","10","1","19","176","143","3","43","509","195","9"
"0301","1381","1181","8","1168","2","7","0","7","247","126","3","43","553","169","11"
"0302","1470","1253","10","1240","5","6","0","17","218","137","6","36","572","237","6"
"0303","1264","1101","12","1085","0","2","0","13","237","126","3","28","518","155","3"
"0304","1400","1204","6","1194","0","4","3","6","247","121","2","40","590","176","5"
"0305","1258","1119","5","1111","9","4","3","8","276","134","7","28","492","149","1"
"0306","1427","1246","3","1241","2","4","1","11","287","134","3","36","571","182","10"
"0307","1415","1258","7","1248","3","12","1","15","335","115","2","35","530","197","3"
"0308","1324","1139","5","1130","2","4","0","5","350","91","7","36","478","152","5"
"0309","1645","1424","11","1411","7","12","2","17","259","153","9","72","606","265","9"
"0310","1665","1441","17","1418","3","15","0","20","279","143","4","55","633","259","7"
"0311","1504","1299","10","1285","3","5","1","15","295","120","4","41","587","206","8"
"0312","1405","1175","13","1153","4","9","0","13","219","110","5","30","530","225","8"
"0313","1497","1227","10","1216","2","8","2","10","195","160","7","45","526","255","6"
"0314","1568","1347","10","1333","4","5","2","16","263","151","5","47","595","238","7"
"0315","1454","1266","10","1252","1","3","0","10","287","142","6","43","544","213","3"
"0401","1243","1017","15","999","4","9","4","12","274","93","7","69","337","187","3"
"0402","1117","954","12","941","4","8","3","14","223","101","8","37","387","148","8"
"0403","1367","1157","4","1147","4","6","1","14","263","123","2","40","475","216","3"
"0404","1283","1109","16","1087","0","9","4","23","233","122","10","64","419","197","6"
"0405","1417","1262","5","1256","3","5","1","12","367","102","9","55","532","164","6"
"0406","1660","1437","11","1421","2","7","1","16","366","125","9","51","650","186","8"
"0407","1313","1122","6","1113","0","5","0","19","319","92","4","70","457","141","6"
"0408","1513","1294","11","1276","2","8","2","27","317","120","7","122","464","198","9"
"0409","1022","891","5","878","2","8","2","12","324","53","3","23","342","106","3"
"0410","1028","870","8","855","2","8","1","13","332","51","4","42","303","96","3"
"0411","1007","843","8","835","1","6","1","15","197","83","4","31","370","123","4"
"0412","1208","1049","5","1039","5","6","2","13","234","93","6","37","465","174","4"
"0413","1551","1323","16","1304","6","6","0","14","269","133","8","63","547","245","13"
"0414","1187","966","8","955","1","5","1","10","238","79","2","31","434","148","6"
"0501","1421","1230","13","1216","0","11","1","21","275","127","2","48","500","222","9"
"0502","1554","1335","14","1317","1","10","1","27","396","103","4","47","488","234","6"
"0503","1517","1311","11","1297","0","7","3","11","393","118","4","53","494","206","8"
"0504","1426","1238","10","1219","0","10","0","15","419","105","8","53","437","165","7"
"0505","1490","1274","10","1262","3","11","3","16","317","124","9","46","510","217","6"
"0506","1319","1164","13","1145","4","2","3","8","308","121","4","39","434","210","12"
"0507","1509","1325","9","1313","4","4","1","22","386","123","6","58","542","163","4"
"0508","1579","1400","12","1387","3","8","1","18","467","108","6","49","597","127","3"
"0509","1528","1378","8","1368","2","10","1","18","388","118","7","35","572","206","11"
"0510","1483","1263","5","1255","5","7","0","13","337","131","11","45","535","166","5"
"0511","1485","1316","9","1304","1","5","0","22","345","120","8","33","550","214","6"
"0512","1454","1252","14","1232","4","1","3","13","293","142","6","46","506","213","5"
"0513","1240","1053","15","1034","3","8","1","33","226","111","5","76","399","166","6"
"0514","1323","1138","9","1128","0","8","1","15","271","117","11","48","437","209","11"
"0515","1459","1248","9","1237","6","10","0","15","272","164","7","45","489","223","6"
"0516","1402","1225","6","1213","3","14","3","12","289","133","3","35","483","232","6"
"0517","1466","1288","16","1269","3","13","0","25","279","120","6","46","539","227","11"
"0518","1390","1183","11","1169","3","18","1","23","314","120","6","52","417","208","7"
"0519","1383","1225","17","1202","6","10","2","28","355","126","12","37","451","168","7"
"0520","1466","1251","17","1232","2","8","1","32","322","136","9","80","433","200","9"
"0521","1412","1238","6","1229","3","7","3","16","299","145","3","30","515","200","8"
"0522","1388","1213","14","1197","1","10","4","14","364","117","10","42","477","153","5"
"0523","1434","1238","10","1226","2","9","0","14","391","110","6","77","444","172","1"
"0524","1415","1269","12","1253","2","15","4","19","257","121","13","64","524","230","4"
"0525","1517","1321","10","1304","2","6","2","9","310","143","12","41","543","229","7"
"0601","1279","1094","8","1082","0","7","1","15","425","62","6","44","407","110","5"
