objectid,nbr_elect_,nbr_elec_1,nbr_elec_2,nbr_elec_3,validite,arrondisse,num_bv,id_bv,shape_area,shape_len
4444,1267777,14444,12222,0,oui,19999,5555,"1905",0,0
5555,1331111,6666,6666,0,oui,19999,7777,"1907",0,0
99,14544,233,200,0,oui,199,144,"1914",0,0
100,14000,299,255,0,oui,199,100,"1910",0,0
122,14955,211,222,0,oui,199,133,"1913",0,0
177,14777,199,177,0,oui,199,288,"1928",0,0
199,13888,66,66,0,oui,199,333,"1933",0,0
211,14644,77,77,0,oui,199,677,"1967",0,0
222,13566,122,111,0,non,199,266,"1926",0,0
299,14466,211,199,0,non,199,600,"1960",0,0
300,14722,133,133,0,non,199,622,"1962",0,0
333,14377,111,88,0,oui,199,566,"1956",0,0
455,14011,188,177,0,oui,199,211,"1921",0,0
466,11833,88,88,0,oui,199,199,"1919",0,0
511,12333,155,155,0,oui,199,388,"1938",0,0
544,15955,133,133,0,oui,199,466,"1946",0,0
555,15411,155,144,0,oui,199,477,"1947",0,0
655,12255,111,99,0,non,199,700,"1970",0,0
700,14322,122,122,0,non,199,699,"1969",0,0
722,16722,122,111,0,non,188,633,"1863",0,0
733,14655,111,77,0,non,188,622,"1862",0,0
755,15088,199,222,0,non,188,599,"1859",0,0
777,16100,355,300,0,non,188,522,"1852",0,0
93333,1590000,19999,16666,0,non,18888,4444,"1804",0,0
97777,1411111,28888,26666,0,non,18888,3333,"1803",0,0
1044,13600,200,211,0,non,188,277,"1827",0,0
1088,15544,155,144,0,non,188,288,"1828",0,0
1122,16011,200,211,0,non,188,322,"1832",0,0
1166,14433,277,244,0,non,188,377,"1837",0,0
1211,16233,222,199,0,non,188,399,"1839",0,0
1277,15544,177,166,0,non,188,422,"1842",0,0
1333,16811,100,100,0,non,188,644,"1864",0,0
1366,12833,277,288,0,non,188,677,"1867",0,0
13999,118777,999,777,0,non,1000,3555,"1035",0,0
14444,145000,2333,2000,0,non,1000,888,"1008",0,0
15111,128444,2222,2111,0,non,1000,3888,"1039",0,0
15555,104888,2333,2222,0,non,1000,2333,"1023",0,0
16111,108444,1222,1222,0,non,1000,3111,"1031",0,0
16777,127888,1555,1222,0,non,1000,1666,"1016",0,0
17000,131555,1111,1111,0,non,1000,1333,"1013",0,0
1766,12466,188,188,0,non,122,522,"1252",0,0
1866,14522,55,55,0,non,122,466,"1246",0,0
1877,13566,222,199,0,non,122,122,"1212",0,0
